,,,,,,,,,
,,,,U10 Boys Gold,,,,,
,,,,,,,,,
,,,,,POINTS,,,,
,,,,16B  WSM Adi Stars,18,,,,
,,,,16B WSM Telstar,15,,,,
,,,,16B WSM Nemeziz,7,,,,
,,,,16B WSM Tiro,9,,,,
,,,,16B WSM TS Sala,4,,,,
,,,,16B WSM TS Trionda,15,,,,
,,,,,,,,,
Game#,Day,Time,Field,Home Team,SCORE,POINTS,Away Team,SCORE,POINTS
U10BG1,Saturday 6/13,9:30 AM,3-4,16B  WSM Adi Stars,5,9,16B WSM Tiro,4,3
U10BG2,Saturday 6/13,9:30 AM,3-2,16B WSM Telstar,7,9,16B WSM TS Sala,6,3
U10BG3,Saturday 6/13,9:30 AM,3-3,16B WSM Nemeziz,1,1,16B WSM TS Trionda,4,9
,,,,,,,,,
U10BG4,Saturday 6/13,10:30 AM,4-1,16B  WSM Adi Stars,7,9,16B WSM TS Sala,1,1
U10BG5,Saturday 6/13,10:30 AM,3-2,16B WSM Telstar,3,6,16B WSM TS Trionda,3,6
U10BG6,Saturday 6/13,10:30 AM,3-3,16B WSM Nemeziz,4,6,16B WSM Tiro,4,6
,,,,,,,,,
U10BG7,Sunday 6/14,9:30 AM,3-4,16B WSM TS Trionda,,,16B  WSM Adi Stars,,
U10BG8,Sunday 6/14,9:30 AM,3-2,16B WSM Tiro,,,16B WSM Telstar,,
U10BG9,Sunday 6/14,9:30 AM,3-3,16B WSM TS Sala,,,16B WSM Nemeziz,,
,,,,,,,,,
U10BG10,Sunday 6/14,10:30 AM,3-2,5th in Points,,,6th in Points,,Consolation
,,,,,,,,,
U10BG11,Sunday 6/14,10:30 AM,3-3,3rd in Points,,,4th in Points,,Consolation
,,,,,,,,,
U10BG12,Sunday 6/14,10:30 AM,4-1,1st in Points,,,2nd in Points,,Final